Candidate;Population;Fitness
0;Error;0
1;Error;0
2;Error;0
3;Error;0
4;Error;0
5;Error;0
6;Error;0
7;Error;0
8;Error;0
9;Error;0
10;Error;0
11;Error;0
12;Error;0
13;Error;0
14;Error;0
15;Error;0
16;Error;0
17;Error;0
18;Error;0
19;Error;0
20;Error;0
21;Error;0
22;Error;0
23;Error;0
24;Error;0
25;Error;0
26;Error;0
27;Error;0
28;Error;0
29;Error;0
30;Error;0
31;Error;0
32;Error;0
33;Error;0
34;Error;0
35;Error;0
36;Error;0
37;Error;0
38;Error;0
39;Error;0
40;Error;0
41;Error;0
42;Error;0
43;Error;0
44;Error;0
45;Error;0
46;Error;0
47;Error;0
48;Error;0
49;Error;0
